"Map","Archetype","Hash","Kind","Ytyp","Asset","Texture","Physics","Status"
"cdd","hash_A616CB64","HASH_A616CB64","direct","","[ydr]\quebradashop_base1.ydr","","","matched"
"cdd","hash_A616CB64","HASH_A616CB64","Drawable","[ydr]\barracoqs10.ytyp","hash_A616CB64","hash_7D490B95","hash_A616CB64","defined"
"cdd","hash_7B83E9D7","HASH_7B83E9D7","direct","","[ydr]\trepatrepa.ydr","","","matched"
"cdd","hash_7B83E9D7","HASH_7B83E9D7","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_7B83E9D7","hash_B77608F1","hash_7B83E9D7","defined"
"cdd","hash_7B83E9D7","HASH_7B83E9D7","Drawable","[ytyp]\detailrua1.ytyp","hash_7B83E9D7","hash_B77608F1","hash_7B83E9D7","defined"
"cdd","hash_DDA268D3","HASH_DDA268D3","direct","","[ydr]\balanco.ydr","","","matched"
"cdd","hash_DDA268D3","HASH_DDA268D3","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_DDA268D3","hash_B77608F1","hash_DDA268D3","defined"
"cdd","hash_DDA268D3","HASH_DDA268D3","Drawable","[ytyp]\detailrua1.ytyp","hash_DDA268D3","hash_B77608F1","hash_DDA268D3","defined"
"cdd","hash_BC838FCF","HASH_BC838FCF","direct","","[ydr]\qssorvete2.ydr","","","matched"
"cdd","hash_BC838FCF","HASH_BC838FCF","Drawable","[ytyp]\detailrua1.ytyp","hash_BC838FCF","hash_BC838FCF","hash_BC838FCF","defined"
"cdd","hash_5DCD73C4","HASH_5DCD73C4","Drawable","[ydr]\barracoqs10.ytyp","hash_5DCD73C4","hash_CBC6FBD3","hash_5DCD73C4","defined"
"cdd","hash_28E0F356","HASH_28E0F356","direct","","[ydr]\qsbanca1.ydr","","","matched"
"cdd","hash_28E0F356","HASH_28E0F356","Drawable","[ytyp]\detailrua1.ytyp","hash_28E0F356","hash_28E0F356","hash_28E0F356","defined"
"cdd","hash_4AF2CCB6","HASH_4AF2CCB6","unknown","","","","","native_or_missing"
"cdd","hash_AA85B19A","HASH_AA85B19A","direct","","[ydr]\xadrez.ydr","","","matched"
"cdd","hash_AA85B19A","HASH_AA85B19A","Drawable","[ydr]\barracoqs10.ytyp","hash_AA85B19A","hash_29E5B098","hash_AA85B19A","defined"
"cdd","hash_A24CE57E","HASH_A24CE57E","unknown","","","","","native_or_missing"
"cdd","hash_0FBCCDA3","HASH_0FBCCDA3","unknown","","","","","native_or_missing"
"cdd","hash_F9CA20E8","HASH_F9CA20E8","unknown","","","","","native_or_missing"
"cdd","hash_71A37A08","HASH_71A37A08","direct","","[ydr]\qssorvete1.ydr","","","matched"
"cdd","hash_71A37A08","HASH_71A37A08","Drawable","[ytyp]\detailrua1.ytyp","hash_71A37A08","hash_71A37A08","hash_71A37A08","defined"
"cdd","hash_ED82C057","HASH_ED82C057","unknown","","","","","native_or_missing"
"cdd","hash_43935B76","HASH_43935B76","unknown","","","","","native_or_missing"
"cdd","hash_3BE5240F","HASH_3BE5240F","unknown","","","","","native_or_missing"
"cdd","hash_A1BC2F96","HASH_A1BC2F96","unknown","","","","","native_or_missing"
"cdd","hash_41835DC0","HASH_41835DC0","unknown","","","","","native_or_missing"
"cdd","hash_4527E509","HASH_4527E509","unknown","","","","","native_or_missing"
"cdd","hash_CCBBD31F","HASH_CCBBD31F","direct","","[ydr]\golqs.ydr","","","matched"
"cdd","hash_CCBBD31F","HASH_CCBBD31F","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_CCBBD31F","hash_DAC99FC2","hash_CCBBD31F","defined"
"cdd","hash_FBCA504F","HASH_FBCA504F","unknown","","","","","native_or_missing"
"cdd","hash_978A3F50","HASH_978A3F50","unknown","","","","","native_or_missing"
"cdd","hash_D5C0BC07","HASH_D5C0BC07","unknown","","","","","native_or_missing"
"cdd","hash_03A41E1A","HASH_03A41E1A","unknown","","","","","native_or_missing"
"cdd","hash_63A56F29","HASH_63A56F29","unknown","","","","","native_or_missing"
"cdd","hash_C0217799","HASH_C0217799","unknown","","","","","native_or_missing"
"cdd","hash_7A8A0B74","HASH_7A8A0B74","unknown","","","","","native_or_missing"
"cdd","hash_2DC7C832","HASH_2DC7C832","unknown","","","","","native_or_missing"
"cdd","hash_629741CD","HASH_629741CD","unknown","","","","","native_or_missing"
"cdd","hash_123C0A89","HASH_123C0A89","unknown","","","","","native_or_missing"
"cdd","hash_DE5BD37F","HASH_DE5BD37F","direct","","[ydr]\qssorvete3.ydr","","","matched"
