"Resource","RuntimeClass","Started","StartDetail","Manifest","Files","SizeMB","StreamFiles","StreamMB","GitTrackedSource","DependencyHints","ContentSHA256","OriginLicense"
"[maps]/of_favelas_shared","TRACKED_SOURCE_EXTERNAL_ASSETS","True","start [maps] [GROUP] line 60","fxmanifest.lua","90","65,28","86","65,28","True","dependency ""vrp"" | ""@vrp/lib/utils.lua"",","5FA89B7A0EC20C35921130F13A0018E324EB951CC8F66A63D3E4A940DE29EE39","UNVERIFIED"
"[maps]/PropertyShells","RUNTIME_EXTERNAL","True","start [maps] [GROUP] line 60","fxmanifest.lua","33","140,36","32","140,36","False","","6B55B10428B6940624E89C71B5F065852AD0E107826651F28AFBE86A3C0110BE","UNVERIFIED"
"[scripts]/admin","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","3","0,1","0","0","True","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","E8272F6B2799F4F636F8E6EA316E6DF2CBFD7E28EF60F44539E89A3168789050","UNVERIFIED"
"[scripts]/af_illegal_races","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","12","0,42","0","0","True","dependencies { | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"", | ""@vrp/config/Native.lua"",","B209708BA664F3436ED4F8D0F3C4FF77F68321C0E67E06B7A0D82BA7F5F8BEC5","UNVERIFIED"
"[scripts]/af_vampire_skill","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","17","0,09","0","0","True","""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","0E5088B0869DCD5FC19ED5530C304CA89533702E21560666EC289B807662A5C2","UNVERIFIED"
"[scripts]/af_witch_broom","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","10","0,09","0","0","True","dependency ""vrp"" | dependency ""of_magic_broom"" | dependency ""of_broom_proxy"" | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","95EEA4BF2EB9FA75C10EED08DB8618491ACD79FFB390FAD47B3718AD5A7BDD64","UNVERIFIED"
"[scripts]/animacoes","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","112","7,58","110","7,37","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"",","1147D006FE67C180027CBDC4241A62AF97AED30151A389E8263C466E19EF8570","UNVERIFIED"
"[scripts]/animals","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","3","0,01","0","0","False","""@vrp/config/Native.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","6E2DC79B6FCFC735F7E65CFF580437580A5F2B65C8058E945015CED386E9AAB8","UNVERIFIED"
"[scripts]/arena","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","8","0,02","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"",","930F7AF092F1A6296C50C9062BD6DDAC60729CE7D0E838C67C2059D32C805302","UNVERIFIED"
"[scripts]/bank","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","7","0,6","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","3A87441848B1EF5D59BCC32AA729FFFA8F263C5CF2088259365FFE7F4E8E71BF","UNVERIFIED"
"[scripts]/banned","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","3","0","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","51E93954284D5FA1CE4E695EE69FD6FE3EFC2695DC25EF420A0EAD9A2C1CCFD0","UNVERIFIED"
"[scripts]/barbershop","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","323","218,68","268","217,44","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","05065EC551811E6565E8EA2E9FBC909217FA83A0EAF849D540467F961F32388F","UNVERIFIED"
"[scripts]/boosting","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","6","0,31","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","658D8E6AB12036BA897A3DCB48558A142585B78E6FEFA143C5F8DB1D484BDC78","UNVERIFIED"
"[scripts]/bus","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","7","0,02","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","726DE8303747DE27C2296CF9037E1F84245073DFD0EFBDBDF8FE7145CAEA51DE","UNVERIFIED"
"[scripts]/cemitery","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","2","0,01","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"",","570837A6CDEA2A602F522145262284CFAD76BD05FA068688A990BD52D17B5602","UNVERIFIED"
"[scripts]/cfWorks","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","20","0,12","0","0","True","""@vrp/lib/Utils.lua"",","CB7576482147E5C9486835E3F6AA8146A1289FF74BDF79B18AC9B815F1153090","UNVERIFIED"
"[scripts]/chat","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","9","0,19","0","0","False","""@vrp/config/Native.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","529E2FA932CA3DCC09835C54C423DD2852959F6C7CEAE979E3CC132246D7050E","UNVERIFIED"
"[scripts]/chest","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","3","0,03","0","0","True","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","D64015ECD9F00A2CD36786C3BF73614255BB431EFA6F2C84EB46DCCC4FCD32B2","UNVERIFIED"
"[scripts]/clothes_addon","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","12766","3130,92","12764","3130,92","False","","EBD052A48C4603679433386C54C021C4BDDFCF1476B188E45BFD89998BA205BA","UNVERIFIED"
"[scripts]/crafting","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","4","0,07","0","0","True","dependency ""oxmysql"" | dependency ""sao_judas_operations"" | ""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"", | ""@sao_judas_operations/config.lua"",","979406287EFF128DA3175DD85BDF9F4246ED98B22C4CD1D778D6F06E8EBD01EA","UNVERIFIED"
"[scripts]/creative","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","9","0,09","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"",","B47B5CE5FA40B465D65669C42FE3D0102892ADE1320F0ADB93BF89C54CE636C5","UNVERIFIED"
"[scripts]/crons","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","3","0,01","0","0","False","""@vrp/lib/Utils.lua"",","751686DF563F24812D1B8ECCB4896F034DFF0C2F3E3BFA404BFBB7E56CB99FF6","UNVERIFIED"
"[scripts]/deliver","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","3","0,01","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","35FBE1DE372C84DAF223112F06B2993CF30B69C90A934A5E62A3E48E2AE4CA9F","UNVERIFIED"
"[scripts]/device","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","5","0,31","0","0","False","""@vrp/lib/Utils.lua"",","E7FDBD1D31766787BAA3CA9E4EF6FAB8554859AAB4E1BA2AB7C209489A3B6840","UNVERIFIED"
"[scripts]/discord","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","3","0","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","AF1684A8EDEBE65BBE19BD5B34C2A29EF15D2E2CCAD40D473AE7B9F076B08C66","UNVERIFIED"
"[scripts]/domination","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","4","0,02","0","0","False","""@PolyZone/client.lua"", | ""@vrp/config/Native.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","90FE31E122478D740AC49338E739AE4AC916462EB8A577E38B53E0D30838ECE1","UNVERIFIED"
"[scripts]/doors","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","6","0,26","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","BCEC59D8D13B1304780E313A2B0A5F777666890F299ECD0BF45EC99061921B49","UNVERIFIED"
"[scripts]/dynamic","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","8","0,13","0","0","True","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","4C8FADF82F2345621A1161D3FBD0F3F9DAE28E96134F4663E28EBAAEB132F090","UNVERIFIED"
"[scripts]/election","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","11","0,48","0","0","False","dependency ""ox_lib"" | ""@vrp/lib/Utils.lua"", | ""@ox_lib/init.lua"",","2040FD1DD927EF1A984272B37121FCDE7CCCD296597D3A99F7B0552F4368BB21","UNVERIFIED"
"[scripts]/elevator","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","6","0,3","0","0","False","","701E1F05C226C190F2429FFEB87E4DA6375D2600854691EB831EAFD3BEB58A6F","UNVERIFIED"
"[scripts]/ems","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","9","0,73","0","0","True","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","240A1AE262E0987839666B59770FB78D9F385BD0A445CA3EAB098B5038F11DA5","UNVERIFIED"
"[scripts]/engine","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","8","0,28","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","01102305943AAAEC0F2F4DD10438F55C62D39B1ADF26333E7B554D6CF697DAFD","UNVERIFIED"
"[scripts]/farmer","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","4","0,25","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","81F106F73DE9280F9FA4C2513AA432A44B4E5C9C5456D004738F0D7E6E128ADC","UNVERIFIED"
"[scripts]/fluxo_ifood","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","4","0,02","0","0","False","dependency ""vrp"" | ""@vrp/lib/utils.lua"",","528D5390D1703D2C04C5DE0C642884B8DF97050F0646F1B4F0AA9369D22878BE","UNVERIFIED"
"[scripts]/fuelstations","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","19","0,4","0","0","False","""@vrp/config/Native.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","A83CD0FDE8481C5D4820207BCFB3771C05B45C9A423F107AD1E9465FA07ED7A7","UNVERIFIED"
"[scripts]/garages","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","11","0,31","0","0","True","""@vrp/config/Native.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","4EE787B780001B722010E2A0D9135A4D5C0171ACE9036B81A99C1945AC29FBB2","UNVERIFIED"
"[scripts]/grime","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","4","0,01","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","5EB4486716583BD7BEC3324EA75CE9CBCA7052D571B9AFAE6580199C770B9A6D","UNVERIFIED"
"[scripts]/helicrash","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","4","0,02","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","33F511B9D6CF8899811F479BDF819890259493E8EAC60A5C7FB2BB51462917C4","UNVERIFIED"
"[scripts]/hoverfy","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","5","0,08","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"",","C4FCEFAA72DCFD3FFD2C542972729CCCF3DA77B587266392ECEDCAD57D4C928C","UNVERIFIED"
"[scripts]/hud","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","21","0,77","0","0","True","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","244E297349F8C038E505BD917F76805C83464424BC028E526F430655B9A79A07","UNVERIFIED"
"[scripts]/inspect","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","3","0,02","0","0","True","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","B2133CC9B5A6712E8982FBD1FBEDCE2A9261CEF82B5D2D752A24092FCB56ED2B","UNVERIFIED"
"[scripts]/inventory","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","47","1,35","0","0","True","dependency ""pombal_finance"" | ""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","D42E46C1A4D03A2A01211E0EA1843B7580A48C44DDDBFAD239C744991D70BB32","UNVERIFIED"
"[scripts]/keyboard","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","5","0,13","0","0","True","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"",","EBEC9D95D4C9F20CA6AFCFA8F34A3F562A58E28AAD95A5DFFB3B3F596F8AB42B","UNVERIFIED"
"[scripts]/lettergame","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","9","0,28","0","0","False","""@vrp/lib/Utils.lua"",","84F3EC2F2BF02D6E65AA539F10B3F075DB30BB82FBC6CB0037922D63AE9C2F6B","UNVERIFIED"
"[scripts]/lscustoms","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","15","0,98","0","0","True","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","D7D7F8B5790086E458F944DB215B8FD6DD962A8FC9D4E56FCC598F181EC749F7","UNVERIFIED"
"[scripts]/luckywheel","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","4","0,01","0","0","False","""@vrp/config/Native.lua"", | ""@vrp/lib/Utils.lua"",","9B477461055420561E297060887E9ED5EA12F2EB7FA444F436F104A4C77A9BFF","UNVERIFIED"
"[scripts]/markers","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","4","0,01","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","A4B4B59A58BBAB0EAE821A6E5C41AD954F5206E6683B2AA301BBF96169C5F51F","UNVERIFIED"
"[scripts]/marriage","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","8","0,84","0","0","False","""@vrp/lib/Utils.lua""","72C518AE95FC28E6B29C29E9477518FAA5BFF49FC57EA6E791B4B1E74F37005D","UNVERIFIED"
"[scripts]/mdt","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","10","1,4","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","CD3DD0AC4A41E2C420E90630CC9ECBACC8CD596CAFAA048E84E40B87286A2292","UNVERIFIED"
"[scripts]/megazord","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","4","0,03","0","0","False","""@vrp/lib/Utils.lua"",","01D1ED7C056FCAD0D5C3E5AA88627225737D907868FDC39F6B25227F99E32881","UNVERIFIED"
"[scripts]/moneywash","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","7","0,05","0","0","False","dependency ""pombal_finance"" | ""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","0E6FDD24603877E8BDACA67B088204DD876A4924F19DFB0110BF49F7495F5454","UNVERIFIED"
"[scripts]/nation_concessionaria","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","2817","338,99","0","0","True","""@vrp/lib/utils.lua"",","C66456C89A494076AD36F3E8BB7CA0DCE3D288E42C44D56525515848BE02FA2F","UNVERIFIED"
"[scripts]/notepad","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","6","0,01","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","6E2E38A6146710B900363C660AACD27482515C66E8DE1C63E8D5541E2DF45C2E","UNVERIFIED"
"[scripts]/notify","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","16","0,14","0","0","True","","5A5B0E1310F049F25250E5810EDB2BBEFD004388997BA8C536CBD6AEC8108E49","UNVERIFIED"
"[scripts]/notifycall","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","7","0,29","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","334B6EE4DD6E9D744D98C6E84B8595ACB0C2EE8A7AA150F22630D9B379F40F65","UNVERIFIED"
"[scripts]/of_aviao_pombal","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43; ensure of_aviao_pombal [DIRECT] line 44","fxmanifest.lua","4","0,03","0","0","True","dependency ""vrp"" | dependency ""target"" | dependency ""pombal_finance"" | ""@vrp/lib/Utils.lua"",","63EE5C00A636B08616B06138CBF78D6820B1678F1D95F214AB34D4555E64B71C","UNVERIFIED"
"[scripts]/of_aviao_sao_judas","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43; ensure of_aviao_sao_judas [DIRECT] line 45","fxmanifest.lua","4","0,03","0","0","True","dependency ""vrp"" | dependency ""target"" | ""@vrp/lib/Utils.lua"",","07A9785689AEB585805C16CC169A89C706FEEE315B8030188C7B0D38E31765B0","UNVERIFIED"
"[scripts]/pages","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","6","0,3","0","0","False","""@vrp/lib/Utils.lua"",","9F17EF82463083357E94FCC8C023C6E76E7A9B921DB4F0470E1096CAB29AC10F","UNVERIFIED"
"[scripts]/painel","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","9","2,01","0","0","True","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","9285EB099316081AF3C94C5141086290B4AD15B9006F0C4F9D095C83ACDA656C","UNVERIFIED"
"[scripts]/paramedic","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","3","0,02","0","0","True","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","40759D3B2E01DF88599E8BDEDD4B9ACCF260F8E2EF0871189E5A650848D0F7BF","UNVERIFIED"
"[scripts]/party","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","7","0,47","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","F035FD9DFB4131502EA3EAE2DFE0D0F650FA8FDB557733F9DAB235287AF7575A","UNVERIFIED"
"[scripts]/pause","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","28","5,43","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","6DBA8D168947E915576BDA7B06D6114A5E88269CD085F5D06F68CFA91CF3924C","UNVERIFIED"
"[scripts]/pdm","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","7","0,16","0","0","False","""@vrp/config/Native.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","5768F90A65D55742BBD0F1E04673B7ACFA7CCC34E6012693410856BE642200A7","UNVERIFIED"
"[scripts]/perimeter","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","3","0,01","0","0","False","""@vrp/config/Native.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","D66B0C80722AF6A38F08543523AE14EA491AC652CA5B742AFACE6B1BA8C8E177","UNVERIFIED"
