"Resource","RuntimeClass","Started","StartDetail","Manifest","Files","SizeMB","StreamFiles","StreamMB","GitTrackedSource","DependencyHints","ContentSHA256","OriginLicense"
"[scripts]/skinweapon","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","6","0,3","0","0","False","""@vrp/config/Native.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","A3A316EA32D4D516AFDB449A894E10E7C86CAC03F56EA0910D173199F5A99F92","UNVERIFIED"
"[scripts]/slotmachine","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","4","0,01","0","0","False","""@vrp/config/Native.lua"", | ""@vrp/lib/Utils.lua"",","18949B8784E56FEB1113FED107CB7860CA6934B87B3F3550848F8156B97282CD","UNVERIFIED"
"[scripts]/spawn","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","7","0,17","0","0","False","""@vrp/config/Native.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","310B3E727A4AD48E51A24C5A6246D79FCF6345EE94DFB821B24254A3142A58B3","UNVERIFIED"
"[scripts]/survival","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","5","0,31","0","0","True","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"",","AA3B985EED84A2E0B8D94C74A6725432C53398104192EA7A578480900C53D458","UNVERIFIED"
"[scripts]/tackle","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","3","0","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"",","EE032F14DB5036B043284E656D966E26105BB85AD14ADC06CB79059EEE279ABA","UNVERIFIED"
"[scripts]/target","TRACKED_SOURCE","True","ensure target [DIRECT] line 42; start [scripts] [GROUP] line 43","fxmanifest.lua","11","0,14","0","0","True","dependencies { | ""@PolyZone/client.lua"", | ""@PolyZone/BoxZone.lua"", | ""@vrp/config/Native.lua"", | ""@PolyZone/EntityZone.lua"", | ""@PolyZone/CircleZone.lua"", | ""@PolyZone/ComboZone.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","3ECDFC0FB0E2DA41AC335B75A87383D17E353852DE86A68607C04651CB688A37","UNVERIFIED"
"[scripts]/taskbar","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","6","0,08","0","0","False","""@vrp/lib/Utils.lua"",","E48F4444D111E986CEC023B8DC6A26F514BFA6149E8FB5B3BE6AAFA9EE6480E1","UNVERIFIED"
"[scripts]/tattooshop","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","6","0,39","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","94BBC8587322E00B5A500470993A901D6BCA0A75B1DDEA94597FD78172FEA58D","UNVERIFIED"
"[scripts]/taxi","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","8","0,03","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","8CDD14F60D305E2876BE845D6F4B2CE2E2CF98AA67777F62440640E37DB1F39A","UNVERIFIED"
"[scripts]/taximeter","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","12","0,44","0","0","False","","097459D15AD107D2564D4EA49AE129DF424A2AF9275D574142B1558721F9056D","UNVERIFIED"
"[scripts]/throwing","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","4","0,01","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","F06EEAE26700B10E46C87999D2DAC4273FBB8FCF9808D428279206A477BB5E58","UNVERIFIED"
